AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11
Rochdale,E08000005,3.59016,6.7596,10.64148,12.18204,11.03724,14.65908,6.20712,6.20736,-2.52972,0.27816,-4.611
Salford,E08000006,8.2842,7.33092,6.7128,9.72504,9.80196,15.81732,11.1762,7.30848,4.88424,5.2098,6.95928
Stockport,E08000007,9.45792,8.13924,13.13016,5.5932,3.90792,5.27904,8.97276,7.62048,2.103,0.92712,5.36904
Tameside,E08000008,8.27496,1.545,-0.38724,-2.06472,6.97824,11.54916,12.87228,3.24624,2.69892,0.37068,6.90096
Trafford,E08000009,10.15044,14.1624,16.19304,17.679,11.33424,8.96736,6.7554,4.85772,4.51368,0.345,5.20056
Wigan,E08000010,12.03276,4.30536,4.28004,7.20588,12.98184,12.20616,6.33684,3.44904,6.66492,5.55192,3.7962
Knowsley ,E08000011,10.614,9.23472,6.0432,6.51456,9.29172,20.56776,13.51332,11.34636,-2.33316,-1.35348,-4.3998
Liverpool,E08000012,8.49156,10.07016,10.07568,11.69088,7.668,12.16632,8.54916,10.99284,5.33664,3.47064,-1.13292
St. Helens,E08000013,13.95288,5.53272,8.82684,0.94452,11.48844,13.557,16.32744,8.52372,1.6212,-3.88572,-7.36896
Sefton,E08000014,12.7014,13.818,12.9726,6.91632,6.93696,14.18688,12.4704,5.81196,-5.00484,-4.25508,-0.7464
Wirral,E08000015,8.95764,8.45688,8.10012,2.00172,-0.25572,7.40952,10.73472,16.70952,6.66348,1.1376,-7.47276
Barnsley,E08000016,-0.7296,4.39104,9.0612,7.52376,6.91968,7.2696,14.6274,13.22412,11.69028,2.48748,3.98676
Doncaster,E08000017,9.41508,9.6894,8.5926,8.7864,7.59504,9.9708,5.23872,4.31016,-1.02348,1.24968,-0.56916
Rotherham ,E08000018,11.97876,13.07388,9.44976,2.67444,5.98212,10.47324,10.4376,3.22884,-2.6874,-3.35544,2.20548
Sheffield,E08000019,8.9364,8.41524,8.7822,2.4996,6.2466,8.7132,11.8368,8.3766,5.47296,2.72124,3.48048
Newcastle upon Tyne,E08000021,6.10776,5.81712,1.19076,4.31112,2.61144,12.2214,10.21656,15.2052,8.41416,2.8344,-4.2936
North Tyneside,E08000022,7.79052,11.04768,2.28036,4.98024,3.45396,12.00336,10.18488,14.29656,12.05556,5.92812,1.09764
South Tyneside,E08000023,3.45996,10.78032,2.90328,5.1012,2.6028,11.72268,7.24044,11.21232,4.82364,5.81028,1.30764
Sunderland,E08000024,9.58752,13.00488,10.79364,9.76092,3.81804,5.2974,1.6182,4.60596,-0.01404,2.93112,3.35532
Birmingham,E08000025,10.32636,10.07988,9.67212,8.9922,9.69864,11.51892,8.73828,6.61464,2.43552,-0.16584,-1.37076
Coventry,E08000026,5.80836,4.31916,3.17592,5.94312,6.85368,12.0414,12.072,13.5942,5.7594,3.84756,0.84948
Dudley ,E08000027,10.79964,11.37852,10.9872,9.14556,9.26664,10.94532,10.1118,9.27,5.63532,0.70548,-1.32912
Sandwell ,E08000028,9.05472,8.61852,6.80784,10.44432,9.4152,16.13076,7.32408,7.37688,-0.23364,2.25804,0.648
Solihull,E08000029,12.34488,16.00224,7.35144,5.67936,1.66296,12.37344,9.58176,11.1684,1.2342,-0.66696,-3.07536
Walsall,E08000030,4.18368,9.60684,5.42868,11.12724,6.43296,12.33756,6.31608,10.98012,3.15492,2.1066,-7.1022
Wolverhampton,E08000031,1.17252,4.46364,6.83472,10.57788,4.9428,11.0418,6.9492,13.82712,3.0336,-1.93344,-6.94164
Bradford ,E08000032,8.78124,3.98412,6.56352,5.65044,10.88628,10.16232,12.01788,6.15276,4.10436,-0.81192,3.09396
Calderdale,E08000033,12.51912,6.0438,5.86752,-3.12336,0.2988,4.55772,12.50928,8.5284,4.82664,0.54432,3.8436
Kirklees ,E08000034,14.69424,12.11424,7.10244,4.11888,8.46792,11.7216,11.64828,11.5728,7.34424,5.85924,0.62868
Leeds ,E08000035,8.64084,7.08528,5.15676,2.1078,2.13216,3.80088,5.9688,4.37388,5.68608,0.97656,2.60496
Wakefield,E08000036,6.82104,7.93884,7.53012,7.01544,5.33508,10.17684,5.6706,9.72,7.35276,9.25068,2.78232
Gateshead,E08000037,9.37656,10.94628,11.36988,8.80632,8.43048,9.35268,6.68796,0.76956,-1.68636,1.00944,1.44744
Barking and Dagenham,E09000002,5.31312,11.80908,11.24076,10.11072,6.63264,13.1784,13.52364,17.11872,7.31844,0.10584,-3.39744
Barnet,E09000003,13.36692,9.8208,10.45596,7.08216,5.88756,3.10908,6.14772,11.32692,11.66004,7.25736,3.35892
Bexley,E09000004,15.02304,12.38268,6.82692,4.0284,7.24512,14.97564,15.03672,10.60716,5.06736,-0.249,1.19028
Brent ,E09000005,18.29916,15.5856,10.7334,5.89092,2.06148,6.75612,6.9582,9.8166,6.30156,8.83164,8.56584
Bromley,E09000006,14.95536,12.9858,9.94908,3.32064,6.789,9.5964,9.85704,9.65496,5.71716,8.32968,1.93344
Camden,E09000007,10.4274,13.56576,12.29184,20.27112,20.68344,19.88244,15.97764,16.04484,20.00316,15.51264,15.86256
Croydon,E09000008,6.53052,12.90636,13.19052,16.69464,7.4916,9.13428,4.94424,9.9186,6.405,4.05324,3.31512
Ealing,E09000009,10.2246,17.09316,14.49276,10.97388,3.22428,9.72504,11.53788,13.0068,4.84248,1.60716,2.0214
Enfield,E09000010,10.41048,14.19288,14.1684,9.6042,5.277,14.17788,13.32696,17.21868,5.0856,4.35324,4.20828
Greenwich,E09000011,7.3116,13.53972,16.30812,12.3984,3.97356,6.95568,6.32352,14.16336,5.7354,5.6766,-3.49068
Hackney ,E09000012,11.8914,8.9592,0.20184,2.031,2.57448,11.76768,13.01736,15.62544,9.5772,3.99084,-0.1008
Hammersmith and Fulham ,E09000013,18.14196,18.42444,16.59876,5.23368,-1.64952,-0.84708,-1.04352,3.09888,8.14704,9.01164,12.65376
Haringey,E09000014,26.436,29.56308,25.39908,18.21132,10.11912,6.40512,0.65988,9.6618,12.27372,11.6592,3.69684
Harrow,E09000015,3.6018,9.28284,17.8206,14.07216,10.05312,9.64404,9.30204,12.7182,8.6328,9.5592,4.3836
Havering,E09000016,12.183,10.88424,11.16324,9.24252,13.15596,14.81412,9.17076,6.1458,1.32312,8.0736,7.18248
Hillingdon,E09000017,8.9766,14.58372,16.77072,12.33036,9.26796,5.22096,2.23344,3.41064,4.85544,4.54848,3.09876
Hounslow,E09000018,11.6514,16.36764,17.16168,17.49684,12.7716,11.02476,8.72604,8.1192,11.23548,13.2288,12.75324
Islington,E09000019,7.85292,17.87448,15.85584,14.44644,8.05464,13.70448,18.4962,18.6942,12.3456,2.03628,2.27424
Kensington and Chelsea,E09000020,12.58008,5.36688,10.36488,4.96044,5.45976,-0.78564,-3.77928,-0.76356,3.44892,11.55948,7.19088
Kingston upon Thames,E09000021,17.95152,16.566,10.5678,7.73172,10.425,13.02216,13.32012,6.41544,3.40944,-1.13268,6.23868
Lambeth ,E09000022,4.93824,8.0982,14.1606,10.20072,5.78124,11.91696,20.73324,25.60332,11.63136,3.44592,-0.27888
Lewisham ,E09000023,16.97352,15.55788,15.24888,12.09972,7.94304,11.92308,10.60872,14.0982,13.3404,9.11184,6.78132
Merton,E09000024,11.50176,5.95224,6.56472,3.72972,12.69888,11.44896,12.18012,3.6846,3.8784,2.09916,3.01212
Newham ,E09000025,6.09144,11.58312,17.81424,15.15276,18.7404,18.62136,22.41684,13.20768,12.64632,0.44616,8.40372
Redbridge,E09000026,13.11336,13.14312,10.44888,8.08884,7.79076,12.18504,12.80268,12.81288,11.82168,4.7718,3.31416
Richmond upon Thames,E09000027,8.92008,14.62176,15.74676,23.19192,18.36828,18.44556,7.17648,5.57784,1.56036,-1.1154,4.1832
Southwark,E09000028,13.3692,12.11784,9.7956,7.10316,9.5778,11.451,13.8756,17.93352,15.72564,10.76748,3.58572
Sutton,E09000029,22.92348,15.39144,8.49432,3.57972,9.75816,15.35568,11.3058,6.549,-6.0558,-2.8776,-4.03152
Tower Hamlets,E09000030,15.66432,13.86144,5.4762,6.35388,8.74476,16.67076,13.55628,16.26084,7.21644,7.782,-0.49536
Waltham Forest,E09000031,15.9756,13.84608,10.90548,11.47992,12.921,16.33296,14.81028,14.14152,10.3848,6.97476,5.6214
Wandsworth,E09000032,11.0214,9.78396,6.3204,8.55216,12.63204,19.6722,15.64776,9.81144,7.26936,5.83536,7.25592
Westminster,E09000033,13.18632,14.28768,23.91612,16.76196,11.93508,0.56784,-2.56764,6.26028,13.63956,16.7856,8.3802
Antrim and Newtownabbey,N09000001,8.21328,7.78212,5.71164,4.81656,4.24872,6.20328,4.24092,4.85376,-1.66812,0.55728,-1.536
"Armagh, Banbridge and Craigavon",N09000002,13.43016,17.94324,3.65448,2.7126,-4.044,6.5928,7.01088,9.1704,0.22992,-1.92456,-2.43096
Belfast,N09000003,4.79724,4.20024,0.90756,1.07616,1.58508,6.59544,7.34964,7.91964,6.41616,4.15872,3.49356
Causeway Coast and Glens,N09000004,0.4584,4.94064,10.09848,11.46204,3.2322,6.3894,5.25948,6.86004,0.97428,1.84416,8.76576
Derry and Strabane,N09000005,8.2476,5.37996,1.54428,-2.1348,-0.06924,3.57936,15.1158,17.71992,13.83816,9.35388,-0.456
Fermanagh and Omagh,N09000006,4.64952,8.682,6.47052,11.76576,12.6954,12.49812,18.21864,9.13812,3.82128,-10.42524,-8.05428
Lisburn and Castlereagh,N09000007,5.62116,10.9668,13.7886,10.3866,4.52244,1.96944,4.37688,12.97464,12.41244,8.33052,0.30468
Mid and East Antrim,N09000008,15.04104,10.47756,2.25744,-1.13796,3.23436,10.82832,14.90916,10.20912,3.53544,-2.12736,-0.17544
Mid Ulster,N09000009,2.50968,4.176,6.54324,8.28816,4.12524,10.71864,11.60052,18.56328,10.08024,5.00184,-8.49192
"Newry, Mourne and Down",N09000010,0.32412,1.1202,1.92072,9.39564,10.92852,17.16876,13.47624,13.78488,5.8764,0.67848,-1.61748
North Down and Ards,N09000011,7.20036,12.96888,4.05192,-0.0144,-1.98132,7.39632,8.97012,6.2976,0.39996,0.66828,3.12948
Clackmannanshire,S12000005,2.15736,1.92984,19.36536,24.61188,13.81236,2.82924,-4.86072,-8.1738,-4.4322,-3.67056,8.90052
Dumfries and Galloway,S12000006,7.84404,8.43828,8.061,2.48628,13.1904,12.03672,15.66072,1.8102,-0.23712,-5.69508,4.15884
East Ayrshire,S12000008,2.33004,-6.92292,4.51956,5.3262,18.26316,17.28684,19.065,3.8718,-1.72152,-8.86968,1.92624
East Lothian,S12000010,6.5142,9.76332,13.26852,5.32476,1.8528,-0.2418,4.03824,6.5088,10.8216,12.67356,13.08252
East Renfrewshire,S12000011,9.69948,21.1068,8.8656,-0.699,-2.226,12.75528,11.51604,8.43828,-2.78916,7.92948,7.98216
Na h-Eileanan Siar,S12000013,3.93564,3.73848,21.162,24.29736,21.54936,-9.77436,-22.26384,-20.04348,17.6982,31.86648,26.6814
Falkirk,S12000014,10.2402,6.64752,4.1106,2.54496,9.31608,9.52344,10.66548,5.03028,7.87452,4.19544,-0.17472
Fife,S12000015,6.25944,7.35924,5.52324,1.35756,2.77164,10.05708,12.80988,10.50084,6.11784,5.01456,0.75912
Highland,S12000017,13.61604,9.40284,6.22272,7.16772,10.90776,8.15052,7.78152,8.19672,14.52936,10.21464,8.69436
Inverclyde,S12000018,0.79272,1.8366,8.58996,13.43136,12.25524,12.45804,11.99028,17.76528,13.71804,6.03372,-6.756
Midlothian,S12000019,12.75048,7.42116,12.67656,18.44688,19.31892,10.79004,0.08304,4.39416,1.68744,3.21576,-3.2424
Moray,S12000020,-1.29396,2.35428,5.06064,13.44096,13.86216,14.7642,6.14868,0.90132,-1.67808,0.357,6.64896
North Ayrshire,S12000021,6.14976,-0.6504,1.09452,2.6268,6.29712,14.71572,17.72424,16.86564,9.05748,1.6026,-5.03844
Orkney Islands,S12000023,-0.33216,13.29792,2.70924,10.82544,1.9086,0.75624,-0.6198,10.65912,15.33792,11.77728,1.37424
Perth and Kinross,S12000024,12.77628,10.26384,8.7204,5.77584,12.2628,13.93812,13.01424,6.43908,4.29576,-0.14292,-0.45888
Scottish Borders ,S12000026,10.26936,11.38404,9.9546,8.0766,6.99612,12.26004,6.61728,10.50456,5.71284,7.75212,3.10236
Shetland Islands,S12000027,7.58712,26.6148,6.37296,4.40832,-22.40688,-4.24596,-3.65904,23.62872,16.2924,6.31632,-6.37536
South Ayrshire,S12000028,14.724,11.07576,9.82752,4.17708,5.75196,0.37752,3.80436,-1.782,0.87492,-0.70392,-1.07052
South Lanarkshire,S12000029,8.81508,8.90364,4.19076,6.1614,7.92564,10.58184,7.64592,6.05148,5.46888,4.42344,0.84708
Stirling,S12000030,14.68584,11.72256,11.78988,12.97152,10.32372,11.08404,2.28372,4.67916,-1.13724,2.97624,2.53548
Aberdeen City,S12000033,1.81008,2.45808,3.63156,5.08752,7.54884,9.37248,6.35844,5.3952,-0.7956,-1.45896,-4.80276
Aberdeenshire,S12000034,4.38792,5.73024,1.67172,2.40888,3.39744,10.1646,7.6644,6.65772,2.78064,3.55116,4.24188
Argyll and Bute,S12000035,9.7728,-0.72804,-10.36092,-1.97292,9.91476,17.41164,10.2648,8.27064,8.18064,13.15872,12.09456
City of Edinburgh,S12000036,7.75848,5.10252,6.41244,4.20504,7.53168,6.43116,8.62056,6.2592,6.92268,5.16144,4.425
Renfrewshire,S12000038,5.3592,7.65072,6.9906,9.5328,9.27444,17.19852,12.68052,11.18304,4.20612,2.68944,-4.89552
West Dunbartonshire,S12000039,2.76024,3.70776,6.6228,8.64948,4.15428,10.34748,4.45092,10.37472,-3.24132,0.0882,-2.81064
West Lothian,S12000040,15.65532,10.73064,8.94024,6.4758,10.15812,9.5676,5.5224,4.8156,6.55056,9.84828,7.59312
Angus,S12000041,-1.31148,13.47132,15.33936,11.53092,-2.17344,-1.10952,1.03128,11.42832,11.94732,11.95176,4.16988
Dundee City,S12000042,15.51528,9.4218,13.38876,0.42936,-3.49092,-5.72256,1.04868,9.12612,13.88232,11.33472,0.6588
North Lanarkshire,S12000044,9.96708,11.43264,9.73932,3.93732,4.00812,6.82284,6.89016,8.12388,7.80348,6.29364,2.98404
East Dunbartonshire,S12000045,12.9168,22.20228,14.6736,13.58832,0.28896,6.85632,5.78652,14.79924,8.7516,5.226,0.36036
Glasgow City,S12000046,5.39808,7.01112,5.83068,6.16332,10.83396,13.64016,13.29828,7.55832,5.44272,4.54764,5.23128
Isle of Anglesey / Ynys M™n,W06000001,18.13584,11.25912,15.11568,-1.19592,-3.19224,-5.81172,10.12872,13.07196,8.1366,-3.43404,-4.81524
Gwynedd / Gwynedd,W06000002,8.62476,14.23776,11.00796,4.98792,1.89108,13.01124,9.834,17.25708,3.23604,9.5436,0.15552
Conwy / Conwy,W06000003,10.82232,6.07488,3.28176,2.98272,4.35624,8.37168,9.10788,12.33168,6.54588,0.96312,1.67016
Denbighshire / Sir Ddinbych,W06000004,10.27548,6.5412,11.826,-1.0506,-4.9206,-2.12364,7.8768,9.0666,5.86692,7.5282,9.951
Flintshire / Sir y Fflint,W06000005,10.95876,5.11332,10.86384,8.43924,6.86784,8.05404,6.25008,4.89792,1.83144,1.2768,3.36408
Wrexham / Wrecsam,W06000006,8.05932,7.03128,6.35796,5.12268,7.06548,10.88316,13.60224,10.56792,2.21508,-3.59976,-4.5258
Ceredigion / Ceredigion,W06000008,11.739,25.58772,19.42896,10.941,-3.97272,-2.49888,2.77056,7.0956,6.96192,-0.30132,2.49756
Pembrokeshire / Sir Benfro,W06000009,14.90364,16.03824,10.014,8.51472,5.72328,8.52156,2.58588,6.68568,6.26304,9.05604,9.93192
Carmarthenshire / Sir Gaerfyrddin,W06000010,13.99344,13.5192,6.1458,0.86388,2.57196,11.02776,15.85536,11.6724,4.55016,-2.5938,-3.846
Swansea / Abertawe,W06000011,9.85884,5.00688,2.71416,6.61572,12.8406,14.21076,7.23396,0.28764,2.15856,4.2204,2.59992
Neath Port Talbot / Castell-nedd Port Talbot,W06000012,5.35224,5.25324,-0.94308,4.32216,3.1926,6.38784,6.88728,1.7832,4.0026,-0.38688,0.99192
Bridgend / Pen-y-bont ar Ogwr,W06000013,7.61124,5.09328,1.67124,10.57392,13.93092,12.71364,-4.9164,-3.06372,6.12768,14.22852,9.4446
Vale of Glamorgan / Bro Morgannwg,W06000014,2.24784,8.76468,17.09412,15.7548,10.85652,9.8646,7.28064,7.58748,1.1472,1.76196,3.15288
Cardiff / Caerdydd,W06000015,11.80788,11.24664,10.48884,4.46304,3.8652,6.90912,9.81048,13.29804,7.99164,2.466,-1.22892
Rhondda Cynon Taf / Rhondda Cynon Taf,W06000016,10.67964,7.35648,4.314,-1.75368,5.01444,11.4804,13.70076,6.9468,2.62908,-3.20268,1.69932
Caerphilly / Caerffili,W06000018,5.48772,10.27428,17.5212,12.86796,11.45316,9.83892,6.25596,3.50736,-1.3494,-3.28188,-1.9404
Blaenau Gwent / Blaenau Gwent,W06000019,1.4982,1.80228,2.01432,4.45008,11.95032,14.82864,11.58936,6.34068,6.1788,8.11896,6.864
Torfaen / Tor-faen,W06000020,13.83408,4.419,-2.94168,-4.92168,7.14048,18.2226,16.1034,3.6792,-7.377,-1.04784,7.62348
Monmouthshire / Sir Fynwy,W06000021,21.66648,27.1404,8.29488,0.933,1.3338,5.09556,5.50488,4.99584,3.72732,5.20788,-1.36716
Newport / Casnewydd,W06000022,-0.70668,-1.54092,8.06724,10.78272,16.66824,13.4376,8.87208,4.31784,3.61188,3.37308,-3.62088
Powys / Powys,W06000023,9.76164,12.98676,15.53772,15.606,12.093,8.89308,4.28316,5.26284,3.71976,1.61664,6.6234
Merthyr Tydfil / Merthyr Tudful,W06000024,8.32056,14.36868,11.15004,2.54496,10.07064,13.8054,20.67768,7.72308,-1.64736,-5.73936,-2.70828
